0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.5454545454545454,0.2727272727272727,0.09090909090909091,0.0,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.0,0.5,0.125,0.125,0.5,0.25,0.375,0.125,0.125,0.375,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.3333333333333333,0.5,0.16666666666666666,0.0,10.0,9.0,20.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.0,0.5,0.0,0.375,0.625,0.0,0.0625,0.1875,0.625,0.125,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5,0.0,0.5,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.1,0.7,0.2,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,10.0,9.0,20.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2,0.0,0.8,0.0,0.1,0.3,0.4,0.2,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.375,0.375,0.25,0.0,0.2,0.2,0.5,0.1,0.25,0.5,0.0,0.25,0.0,0.3333333333333333,0.6666666666666666,0.0,10.0,9.0,20.0,70.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.25,0.25,0.3333333333333333,0.16666666666666666,0.25,0.25,0.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1,0.4,0.4,0.1,0.25,0.25,0.25,0.25,10.0,9.0,30.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.6666666666666666,0.3333333333333333,0.0,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.125,0.5,0.375,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.3,0.4,0.3,0.2,0.3,0.5,0.0,0.75,0.0,0.25,0.0,10.0,9.0,30.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855,0.0,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.4,0.4,0.2,0.0,0.125,0.375,0.5,0.0,0.1,0.1,0.3,0.5,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,10.0,9.0,30.0,70.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.5,0.5,0.07142857142857142,0.5,0.21428571428571427,0.21428571428571427,0.0,0.8333333333333334,0.0,0.16666666666666666,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.1,0.4,0.1,0.4,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.2222222222222222,10.0,9.0,40.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.5,0.0,0.3333333333333333,0.0,0.16666666666666666,0.5,0.14285714285714285,0.2857142857142857,0.5,0.07142857142857142,0.0,0.0,0.8,0.2,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.3076923076923077,0.46153846153846156,0.0,0.23076923076923078,0.0,0.6,0.4,0.0,0.0,0.5,0.25,0.25,10.0,9.0,40.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3333333333333333,0.6666666666666666,0.0,0.0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.5454545454545454,0.0,0.375,0.625,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,1.0,0.0,0.0,0.125,0.7916666666666666,0.041666666666666664,0.041666666666666664,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,9.0,40.0,70.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.5,0.0,0.25,0.25,0.25,0.25,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.25,0.2,0.4,0.2,0.2,0.0,0.4,0.6,0.0,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.1,0.2,0.5,0.2,0.4,0.6,0.0,0.0,6.0,3.0,20.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.5,0.0,0.375,0.0,0.5,0.125,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.375,0.25,0.25,0.125,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.5,6.0,3.0,20.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.4444444444444444,0.4444444444444444,0.1111111111111111,0.0,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.5,0.25,0.25,0.0,0.75,0.25,0.0,0.17647058823529413,0.5294117647058824,0.23529411764705882,0.058823529411764705,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,6.0,3.0,20.0,70.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.3125,0.5625,0.125,0.0,0.2,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.5,0.25,0.375,0.125,0.25,0.25,0.1,0.3,0.3,0.3,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,6.0,3.0,30.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.07142857142857142,0.5714285714285714,0.35714285714285715,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.038461538461538464,0.0,0.038461538461538464,0.9230769230769231,6.0,3.0,30.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.25,0.5,0.0,0.25,0.1,0.4,0.2,0.3,0.125,0.375,0.5,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,1.0,0.0,0.0,0.125,0.5,0.375,0.07142857142857142,0.35714285714285715,0.5,0.07142857142857142,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0,6.0,40.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.5,0.5,0.0,0.42857142857142855,0.5714285714285714,0.0,0.125,0.125,0.5625,0.1875,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,6.0,9.0,40.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.5,0.0,0.15384615384615385,0.46153846153846156,0.3076923076923077,0.07692307692307693,0.2,0.5,0.2,0.1,0.0,0.5,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.09090909090909091,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.0,0.7142857142857143,0.0,0.2857142857142857,0.25,0.25,0.125,0.375,6.0,9.0,40.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.25,0.5,0.25,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.375,0.5,0.125,0.0,0.0,0.0,0.75,0.25,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.125,0.5,0.125,0.25,0.6,0.0,0.2,0.2,6.0,9.0,40.0,70.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.25,0.25,0.16666666666666666,0.6111111111111112,0.05555555555555555,0.16666666666666666,0.0,1.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.5,0.5,0.25,0.25,0.3333333333333333,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.14285714285714285,6.0,6.0,40.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.3333333333333333,0.16666666666666666,0.5,0.3,0.2,0.5,0.0,0.4,0.4,0.2,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.25,0.75,0.0,0.0,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,0.6,0.4,0.0,0.0,0.5,0.5,0.0,6.0,6.0,40.0,70.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.5,0.3333333333333333,0.0,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.0,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.1111111111111111,1.0,0.0,0.0,0.0,6.0,9.0,20.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2,0.8,0.0,0.0,0.1875,0.5625,0.1875,0.0625,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.38461538461538464,0.38461538461538464,0.23076923076923078,0.0,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.0,0.5,0.5,0.0,6.0,9.0,20.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.07142857142857142,0.42857142857142855,0.2857142857142857,0.21428571428571427,0.0,0.5,0.375,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.375,0.125,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.3,0.4,0.3,0.0,0.5,0.5,0.0,0.0,6.0,9.0,20.0,70.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.6666666666666666,0.3333333333333333,0.06666666666666667,0.5333333333333333,0.3333333333333333,0.06666666666666667,0.2222222222222222,0.6666666666666666,0.1111111111111111,0.0,0.0,0.5,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15384615384615385,0.5384615384615384,0.3076923076923077,0.0,0.0,0.4,0.5,0.1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,6.0,9.0,30.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.0,0.25,0.25,0.1,0.5,0.4,0.0,0.09090909090909091,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.0,0.5,0.5,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3,0.3,0.2,0.2,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.7142857142857143,0.0,0.2857142857142857,6.0,9.0,30.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.5,0.25,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.0,0.5,0.0,0.0,0.5,0.0,0.3333333333333333,0.6666666666666666,0.0,0.25,0.5,0.08333333333333333,0.16666666666666666,0.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.2,0.4,0.2,0.2,6.0,9.0,30.0,70.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1111111111111111,0.4444444444444444,0.4444444444444444,0.0,0.2,0.4,0.3,0.1,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.42857142857142855,0.35714285714285715,0.21428571428571427,0.0,0.625,0.125,0.25,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,0.0,0.0,0.0,4.0,3.0,20.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.25,0.5,0.25,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.07692307692307693,0.3076923076923077,0.38461538461538464,0.23076923076923078,0.0,0.2,0.6,0.2,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.8,0.2,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.4166666666666667,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.2222222222222222,4.0,3.0,30.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.3333333333333333,0.6666666666666666,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.058823529411764705,0.23529411764705882,0.5882352941176471,0.11764705882352941,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,4.0,3.0,30.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0,0.0,0.25,0.5,0.25,0.25,0.5,0.25,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.0,0.3333333333333333,0.6666666666666666,0.0,4.0,3.0,30.0,40.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.6363636363636364,0.0,0.0,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.0,0.8,0.2,0.0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.2,0.3,0.3,0.2,0.16666666666666666,0.3333333333333333,0.0,0.5,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,4.0,3.0,30.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.4,0.4,0.2,0.16666666666666666,0.25,0.4166666666666667,0.16666666666666666,0.0,0.25,0.75,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.2,0.3,0.3,0.2,0.0,0.36363636363636365,0.45454545454545453,0.18181818181818182,0.0,0.4,0.4,0.2,4.0,3.0,30.0,50.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2,0.0,0.8,0.0,0.125,0.125,0.25,0.5,0.1,0.4,0.3,0.2,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.0,0.2,0.6,0.2,0.16666666666666666,0.4166666666666667,0.25,0.16666666666666666,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.4,0.4,0.0,0.2,4.0,3.0,40.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.25,0.75,0.0,0.0,0.375,0.25,0.375,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.0,0.5,0.5,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.07142857142857142,0.5714285714285714,0.21428571428571427,0.25,0.0,0.5,0.25,4.0,3.0,40.0,50.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.0625,0.3125,0.5,0.125,0.0,0.4,0.4,0.2,0.0,0.25,0.5,0.25,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.0,0.6,0.3,0.1,0.3333333333333333,0.16666666666666666,0.5,0.0,4.0,6.0,30.0,50.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2222222222222222,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.25,0.08333333333333333,0.3333333333333333,0.5,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.6,0.2,0.0,0.3333333333333333,0.5,0.16666666666666666,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.23076923076923078,0.4,0.2,0.4,0.0,4.0,6.0,20.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.25,0.058823529411764705,0.11764705882352941,0.6470588235294118,0.17647058823529413,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.0,0.5,0.5,0.125,0.25,0.375,0.25,0.07142857142857142,0.35714285714285715,0.5,0.07142857142857142,0.0,0.2,0.6,0.2,4.0,6.0,20.0,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5,0.0,0.5,0.0,0.125,0.625,0.25,0.15384615384615385,0.23076923076923078,0.46153846153846156,0.15384615384615385,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.5,0.0,0.5,0.125,0.25,0.375,0.25,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.0,0.2,0.5,0.3,4.0,6.0,20.0,40.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.1,0.0,0.5,0.4,0.0,0.5,0.4166666666666667,0.08333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.0,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.16666666666666666,0.5,0.3333333333333333,0.0,4.0,6.0,20.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.125,0.375,0.25,0.25,0.25,0.5,0.25,0.0,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.4166666666666667,0.25,0.3333333333333333,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,4.0,6.0,20.0,50.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.25,0.25,0.5,0.0,0.1111111111111111,0.0,0.5555555555555556,0.3333333333333333,0.1,0.2,0.4,0.3,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.0,0.42857142857142855,0.5714285714285714,0.0,4.0,6.0,30.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
